Date,NH3,TSP,CO2,TVOC,PM10,PM2.5,W_force,W_speed,Tem,RH
2022-12-04 01:30:00,6.733333333,254.3333333,1169.333333,138.3333333,40.66666667,28,0,0,15.33411621,75.59254964
2022-12-04 02:00:00,6.166666667,266.3333333,1062,96.66666667,39.33333333,31.66666667,0,0,15.06241374,76.16322835
2022-12-04 02:30:00,6.1,321,1057.333333,109,46.66666667,32,0,0,14.96231283,76.75425212
2022-12-04 03:00:00,6.366666667,248.6666667,1049.666667,117.6666667,41,29.33333333,0,0,14.86936198,76.71864827
2022-12-04 03:30:00,6.333333333,241.6666667,1036.333333,89.66666667,39.66666667,29,0,0,14.79071126,76.53706868
2022-12-04 04:00:00,6.033333333,328,1046.666667,87.66666667,39,26.33333333,0,0,14.762111,77.35087077
2022-12-04 04:30:00,6.566666667,296.3333333,1061,115.3333333,38.33333333,29.33333333,0,0,14.89796224,76.99025472
2022-12-04 05:00:00,6.766666667,187.6666667,1063.666667,81,36.66666667,25,0,0,14.9372876,76.7868042
2022-12-04 05:30:00,6.2,304,1100,90.33333333,31,25,0,0,15.04453857,77.68656413
2022-12-04 06:00:00,6.6,301.3333333,1149.333333,115,36.66666667,27,0,0,15.17681478,77.14131673
2022-12-04 06:30:00,7.266666667,235,1176.333333,93.66666667,33.33333333,27,0,0,15.2340153,76.3671875
2022-12-04 07:00:00,6.9,288.6666667,1218,62.66666667,37.33333333,28.33333333,0,0,15.35199137,77.17336019
2022-12-04 07:30:00,6.4,397.3333333,1187.666667,94,41,30,0,0,15.60224365,77.63264974
2022-12-04 08:00:00,7.2,463.3333333,1225.333333,118,47.33333333,33.33333333,0,0,15.76669515,77.03552246
2022-12-04 08:30:00,7.466666667,522.3333333,1457,1035.666667,48.66666667,38,0,0,16.74267904,79.11631266
2022-12-04 09:00:00,5.7,440,1521.666667,826,58,45.33333333,0,0,16.74267904,80.02624512
2022-12-04 09:30:00,5.766666667,381,1431,432,45,36.33333333,0,0,16.51387695,79.44285075
2022-12-04 10:00:00,5.5,360.3333333,1296,498.3333333,58.33333333,43,0,0,16.54247721,76.8641154
2022-12-04 10:30:00,5.633333333,508.6666667,1379,738.3333333,57.33333333,46,0,0,17.5291862,75.04730225
2022-12-04 11:00:00,4.6,273,1374.666667,647,61,46.33333333,0,0,18.04756592,71.64510091
2022-12-04 11:30:00,3.833333333,272.3333333,1180,561.6666667,62.66666667,50,0,0,17.72581299,69.77996826
2022-12-04 12:00:00,4,177,1114.333333,226.6666667,56,42.66666667,0,0,17.3861849,68.74338786
2022-12-04 12:30:00,4.333333333,157.3333333,1100.333333,569,54.33333333,39.66666667,0,0,17.4970109,68.37361654
2022-12-04 13:00:00,4.1,202,1057.333333,715.3333333,51.33333333,40.66666667,0,0,17.47913574,68.19254557
2022-12-04 13:30:00,4.733333333,257.6666667,1135.333333,974.3333333,50,36.33333333,0,0,17.46841064,69.32729085
2022-12-04 14:00:00,5.133333333,342.3333333,1096.333333,254.6666667,45.33333333,36.33333333,0,0,17.31468424,70.32521566
2022-12-04 14:30:00,5.5,467,1150,467.6666667,51.66666667,39.33333333,0,0,17.54706136,71.71223958
2022-12-04 15:00:00,5.933333333,566,1208.333333,416.6666667,44.33333333,33.66666667,0,0,17.82948893,71.00728353
2022-12-04 15:30:00,5.766666667,612.6666667,1241.333333,287.3333333,45,34.66666667,0,0,18.10476644,69.61161296
2022-12-04 16:00:00,5.433333333,517.6666667,1138.333333,282.3333333,44.66666667,33,0,0,18.18699219,69.46665446
2022-12-04 16:30:00,6.2,592,1151.666667,220,47.66666667,37,0,0,18.2978182,68.64980062
2022-12-04 17:00:00,5.933333333,639.6666667,1132,198.3333333,51,38,0,0,18.10119141,69.30135091
2022-12-04 17:30:00,5.3,759,1193.666667,1840.333333,61.33333333,48.66666667,0,0,18.01181559,71.5520223
2022-12-04 18:00:00,5.5,265.6666667,1429,2667.666667,77.33333333,55.66666667,0,0,17.69006266,73.13639323
2022-12-04 18:30:00,5.566666667,371.3333333,1380.333333,756,69,57,0,0,16.89998047,74.29758708
2022-12-04 19:00:00,5.7,305,1269,377.3333333,71,50,0,0,16.27077474,75.2919515
2022-12-04 19:30:00,5.833333333,249,1202.666667,407.3333333,80,59.66666667,0,0,15.82032064,76.79494222
2022-12-04 20:00:00,6.5,256,1179,239.3333333,74,56,0,0,15.57721842,76.19832357
2022-12-04 20:30:00,6,254,1143,246.3333333,70,55,0,0,15.39131673,77.13063558
2022-12-04 21:00:00,6.266666667,456,1243,457.3333333,77,59,0,0,15.60581868,77.64078776
2022-12-04 21:30:00,6.933333333,392.3333333,1284,321.6666667,65.66666667,52.33333333,0,0,15.63084391,77.43174235
2022-12-04 22:00:00,6.5,332.6666667,1274.333333,262.3333333,73,52,0,0,15.56649333,77.69012451
2022-12-04 22:30:00,6.766666667,222.3333333,1284.333333,286.6666667,73,54.33333333,0,0,15.57721842,77.71911621
2022-12-04 23:00:00,7.233333333,227.3333333,1319.333333,271,67.33333333,54,0,0,15.68089437,77.08536784
